scientific_name,pronunciation,common_name,family_name,plant_type,key_id_features,habit,form,texture,height,spread,growth_rate,origin,climate,exposure,soil_or_growing_medium,water,landscape_uses,additional_info,leaf_form,leaf_arrangement,leaf_texture,leaf_surfaces,leaf_colour_in_summer,leaf_colour_in_fall,leaf_shapes,leaf_apices,leaf_bases,leaf_margins,inflorescence_type,petal_colour,flower_scent,flower_time,fruit_type,fruit_colour,fruiting_time,bark_morphology,bark_or_stem_colour,propagation,pest_susceptibility
Abelia x grandiflora 'Edward Goucher',a-BEE-lee-uh gran-dih-FLOR-uh,Edward Goucher abelia,Caprifoliaceae,"Broadleaf evergreen, Semi-evergreen","Semi-evergreen shrub with arching reddish branches; leaves to 6 cm long, opposite, glossy dark green with long acuminate tips; some bronzing in winter.",Twiggy,Round,Medium - fine,1.3 - 2.0m,1.5 - 2.0m,Moderate,"B.C. west of Cascades, Garden origin, S.E. Asia / Japan / China (cross between A. x grandiflora and A. shumannii in1911 )",Zone 6: (-23 to -18 C),"Full sun, Part sun/part shade","Acidic, Well-drained",Moderate,"Dryland (no watering), Fragrance, Group or mass planting, Hedge row, Mixed shrub border, Sheared hedge, Summer interest",long vertical fissures on bark,Simple,Opposite,"Pinnate venation, Soft flexible","Glabrous, Lustrous","Green, Red","Green, Yellow, Dark-red",Ovate,Acuminate,Obtuse,"Entire, Serrulate",Cyme,"Showy, Pink",Fragrant,"Jun, Jul, Aug",Capsule,Brown,"Oct, Nov","Smooth, Lightly fissured","Yellow, Brown","Greenwood cuttings, Softwood cuttings","Pest resistant, Disease resistant, Fungal leaf spot, Root rot, Deer resistant"
Abies amabilis,AY-beez uh-MAB-uh-liss,Amabilis fir (seedling),Pinaceae,Conifer,"Seeds 10-12 x 4 mm, wing about as long as seed; cotyledons 4-7, short, blunt, smooth edge.",Stiffly upright,Pyramidal - narrowly,Medium,> 30m,,Slow,"B.C. west of Cascades, U.S. - northwest",Zone 5: (-29 to -23 C),Part sun/part shade,"Acidic, Well-drained",,Forestry,"Single, spirally-arranged; appear to be in 2 rows along twig; flat, sharp point; 2-3 cm.",Needle-like,Spiraled,Leathery,Glabrous,"Green, White bands of stomates beneath.",,Linear,,,,n/a,,,,n/a,,,Smooth,,Seed,
Abies amabilis,AY-beez uh-MAB-uh-liss,"Amabilis fir, Pacific silver fir",Pinaceae,Conifer,"Branches tiered; needles flat, dark green, 2 white lines underneath, spreading forward and upward, spirally arranged, most 1-2.5 (-4.5) cm x 1-3 mm; female cones erect, ovoid-cylindrical, resinous, purple-grey before turning brown, most 8-10 cm x 4-5 cm with deciduous scales about 2 x 2 cm, finely pubescent, bracts shorty and usually hidden between the scales. Winter ID: buds small, spherical, brown, with violet wax.",Upright,Pyramidal - narrowly,Medium - fine,> 30m,10 - 15m,Moderate,"B.C. west of Cascades, U.S. - northwest",Zone 5: (-29 to -23 C),"Filtered shade, Part sun/part shade",,,Forestry,reddish-grey scaly plates form with age,Needle-like,Spiraled,,Lustrous,Dark-green,,Linear,Emarginate,,Entire,n/a (male cone),"Male Cone (red, maturing to yellow)",,"Mar, Apr",Cone (winged seeds),"Brown, Purple",,Smooth,"White, Grey",Seed,"Root rot, Blight or needle cast"
Abies balsamea 'Nana',AY-beez bal-SAY-mee-uh,dwarf balsam fir,Pinaceae,"Conifer, Ground cover","Needles flat,dark green, radial needles, two white stomatal lines underneath, rounded tip, notched; buds are resinous.",Dense,Mounded,Fine,0.7 - 1.3m,1.0 - 1.5m,Slow,"Canada - central, Canada - eastern, Garden origin, U.S. - central, U.S. - northeast",Zone 2: (-46 to -40 C),"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Moderate,"Container planting, Group or mass planting, Mixed shrub border, Winter interest",This cultivar does not produce female cones (sterile).,Needle-like,Spiraled,Leathery,"Distinctive smell, Glabrous, Lustrous",Dark-green,Dark-green,Linear,Emarginate,Truncate,Entire,n/a (male cone),"Male Cone, Yellow",None,"Mar, Apr",Aborted (hybrids) or absent,,,Smooth,"Brown, Red","Greenwood cuttings, Hardwood cuttings","Rust, Root rot, Aphids or adelgids"
Abies cephalonica 'Meyer's Dwarf',AY-beez seff-uh-LON-ih-kuh,"Meyer's Dwarf fir, dwarf Greek fir",Pinaceae,"Conifer, Ground cover","Branchlets glossy brown; needles sharply pointed, 8-15mm long.",Spreading,Mounded,Medium,0.4 - 0.7m,2 - 3m,Slow,"Europe, Garden origin (Greek mountains)",Zone 6: (-23 to -18 C),Full sun,Rocky or gravelly or dry,Low,"Alpine, Ground cover, Mixed shrub border, Rock garden, Specimen plant",Google Images,Needle-like,Spiraled,Leathery,Glabrous,Green,Green,Linear,Acute,,Entire,n/a (male cone),"Male Cone, Red, Pink",,"Mar, Apr",Cone (winged seeds),"Pink, Brown, Purple",,,Bark or Stem Colour,Grafting,
Abies concolor,AY-beez KON-kol-or,"Colorado fir, white fir",Pinaceae,Conifer,"Branched to base, those on upper half of tree tend to point upward, lower ones are horizontal or deflected downward; needles blue-green, soft, curve out and up on branches, new growth bluish; buds and young bark have resin blisters.",Stiffly upright,Columnar,Fine,> 30m,7 - 10m,Slow,"Mexico, U.S. - northwest",Zone 4: (-34 to -29 C),Full sun,"Acidic, Rocky or gravelly or dry, Well-drained","Low, Moderate",Specimen plant,"Not showy, Google Images",Needle-like,Spiraled,Leathery,"Distinctive smell, Glabrous",Bluish,Green,"Acicular, Linear",Rounded,,Entire,n/a,"Male Cone, Dark-red",,"Mar, Apr",Cone (winged seeds),Brown,"Sep, Oct","Smooth, Deeply fissured",Grey,"Seed, Hardwood cuttings","Pest resistant, Disease resistant, Dieback, Aphids or adelgids, Canker or sap rot, Root rot"
Abies concolor,AY-beez KON-kol-or,Colorado fir (seedling),Pinaceae,Conifer,"Seeds 8-12 × 3 mm, wing about twice as long; cotyledons 5-9 (usually 6).",,,,,,,"Mexico, U.S. - northwest",Zone 4: (-34 to -29 C),,,,Forestry,Google Images . Also see data for mature tree entry.,Needle-like,Spiraled,Leathery,"Distinctive smell, Glabrous",,,"Acicular, Linear",,,,n/a,,,,n/a,,,,,Seed,
Abies fraseri,AY-beez FRAY-zer-aye,Fraser fir,Pinaceae,Conifer,"Needles short (< 2.5 cm), flat, tips rounded; leaf scars rounded; female cones with protruding, rounded bracts.","Dense, Stiffly upright",Pyramidal - narrowly,Medium,15 - 22m,7 - 10m,Slow,"U.S. - northeast (Appalachian Mountains, E US)",Zone 4: (-34 to -29 C),Full sun,Well-drained,Moderate,"Forestry, Group or mass planting, Hedge row, Screening, Shade tree, Specimen plant, Tall background, Wind break",grooved above,Needle-like,Spiraled,Leathery,"Lustrous, Tomentose","Dark-green, silvery underside",Silver / Grayish,"Acicular, Linear",Rounded,Truncate,,n/a (male cone),"Male Cone, Brown",,"Mar, Apr",Cone (winged seeds),Brown,,"Smooth, Moderately fissured",Brown,,"Pest resistant, Disease resistant, Aphids or adelgids"
Abies grandis,AY-beez GRAN-diss,grand fir (seedling),Pinaceae,Conifer,"Cotyledons 4-6, flat, blunt tip, groove on top; needles horizontally spreading in two rows, often alterating between long and short needles ('comb-like'), upper needle surface grooved, lower surface with two white stomatal bands, notched tip.",Upright,"Columnar, Pyramidal - narrowly",Medium - coarse,> 30m,15 - 25m,Fast,"B.C. east of Cascades, B.C. west of Cascades, U.S. - northwest",Zone 5: (-29 to -23 C),Full sun,"Acidic, Well-drained",,"Forestry, Shade tree",cracks in squares with age,Needle-like,Alternate,Soft flexible,"Distinctive smell, Glabrous, Lustrous",Dark-green,Dark-green,Linear,,,,n/a,,,,n/a,,,Smooth,Grey,Seed,"Galls, Root rot, Rust"
Abies grandis,AY-beez GRAN-diss,grand fir,Pinaceae,Conifer,"Needles flat, rounded tips, two white bands on underside. Winter ID: three or more buds present at terminal ends.",Upright,"Columnar, Pyramidal - narrowly",Medium,> 30m,10 - 15m,Fast,"B.C. east of Cascades, B.C. west of Cascades, U.S. - northwest",Zone 6: (-23 to -18 C),"Filtered shade, Full sun",Well-drained,Low,"Forestry, Specimen plant","Thin, resin blisters",Needle-like,Alternate,Soft flexible,"Distinctive smell, Glabrous, Lustrous","Dark-green, 2 white lines of stomata below",,Linear,"Acuminate, Obcordate or retuse, Rounded",,Entire,,"Male Cone, Brown",,"Mar, Apr",Cone (winged seeds),Green,"Sep, Oct",Moderately fissured,Grey,Seed,
Abies koreana,AY-beez kor-ee-AY-nah,Korean fir,Pinaceae,Conifer,"Needles flattened, glossy dark green above, and with two broad, vividly white bands of stomata below 1-2 cm x 2-2.5 mm x 0.5 mm, slightly notched at the tip; cones dark purple-blue before maturity, 4-7 cm x 1.5-2 cm; scale bracts long, green or yellow, and emerge between the scales in the closed cone.",Upright,Pyramidal - widely,Medium - fine,7 - 10m,5 - 7m,Moderate,S.E. Asia / Japan / China (S. Korea),Zone 5: (-29 to -23 C),Part sun/part shade,Well-drained,,"Specimen plant, Tall background, Wind break, Winter interest",Showy,Needle-like,Spiraled,Leathery,"Glabrous, Lustrous","Dark-green, lower surface silverish",Dark-green,"Falcate, Linear",Acute,Truncate,Entire,n/a (male cone),"Male Cone, Brown",,"Mar, Apr",Cone (winged seeds),"Violet, Blue",,,Grey,,Deer resistant
Abies nordmanniana,AY-beez nord-man-ee-AY-nuh,Nordmann fir,Pinaceae,Conifer,"Leaves glossy, rich green needles/2 stomata lines underneath, <3.5cm.long, point forward/overlap above on each shoot, flat tip; female cones greenish-brown, ovoid-cylindrical, protruding bracts, held upright on upper branches; Buds light brown, terminal or clusters of 5-7.",,,Medium - fine,> 30m,15 - 25m,Fast,"Central / west Asia (Caucasus Mountains, Turkey)",Zone 4: (-34 to -29 C),Full sun,,,Forestry,"20-30 mm x 2-2.5 mm, directed forward",Needle-like,Spiraled,Leathery,Glabrous,,,Linear,Acute,Truncate,Entire,,"Male Cone, Brown",,"Mar, Apr",Cone (winged seeds),,,,"Grey, Brown",,
Abutilon x hybridum,uh-BEW-tih-lon HIB-rih-dum,"Chinese lantern, parlour maple",Malvaceae,Shrub - deciduous,"Leaves usually lobed like a maple. Flowers cup-shaped, about 5 cm wide",Upright,Round,Coarse,1.3 - 2.0m,1.0 - 1.5m,Moderate,Garden origin (unknown but may involve A. pictus),Zone 10: (-1 to 4 C),"Full sun, Part sun/part shade",,,"Attract butterflies, Indoor plant, Summer interest",Google . Cultivars shown include A. 'White King' and A. 'Eric Lilac'.,"Lobed, Simple",Alternate,"Palmate venation, Soft flexible",Pubescent,Green,,Ovate,Acute,Cordate,Crenate,Flowers clustered,"Showy, Orange, White, Pink, Red, Yellow",Fragrant,"May, Jun, Jul, Aug, Sep, Oct",Aborted (hybrids) or absent,,,,Brown,,"Scale insects, Mites, Aphids or adelgids, Whitefly or psyllids"
Acalypha hispida,ack-uh-LIFE-uh HISS-pih-duh,chenille plant,Euphorbiaceae,Flowering pot plant,"Plant upright; stem is lined with fine hairs; leaves ovate, dark green, margin toothed; tiny florets in fuzzy red ""catkins"".","Open, Upright",Oval - vertical,Medium,2 - 3m,1.5 - 2.0m,Fast,Australia / New Zealand,Zone 10: (-1 to 4 C),"Full sun, Part sun/part shade",Well-drained,Moderate,"Indoor plant, Medicinal plant (Caution: poisonous parts)",Not showy,Simple,Alternate,"Pinnate venation, Soft flexible",Glabrous,Green,,Ovate,Acute,Rounded,Serrate,"Spike-like, Cyathium","Showy, Red",None,"Jul, Aug",Capsule,,"Sep, Oct",,"Green, Red","Stem tip cuttings, Cuttings, Seed","Mites, Thrips"
Acalypha pendula,ack-uh-LIFE-uh PEN-dew-luh,chenille,Euphorbiaceae,Annual,"Plant pendulous; stem lined with fine hairs; leaves ovate, dark green, toothed margin; tiny florets in fuzzy red ""catkins"".",Pendulous,Weeping,Medium - fine,0.4 - 0.7m,0.3 - 0.6m,Fast,Australia / New Zealand,Zone 9: (-7 to -1 C),"Full sun, Part sun/part shade","Humus rich, Well-drained",Moderate,"Container planting, Hanging basket",Not showy,Simple,Alternate,"Pinnate venation, Soft flexible",Glabrous,Green,,Ovate,Acute,Rounded,"Dentate, Serrate",Cyme,"Showy, Red",None,"May, Jun, Jul, Aug, Sep","Schizocarp, Capsule",Brown,"Sep, Oct",Smooth,Green,"Stem tip cuttings, Cuttings, Seed","Pest resistant, Disease resistant"
